,Hindi,Bhili
20016,कौन ‘हर घर तिरंगा’ अभियान को अगस्त के महीने में भूल सकता है।,कुन हर घेर तिरंगा अभियान नें अगस्‍त नां मईंना मां भुली सकें से।
20572,"इस अभियान के तहत, जनजातीय क्षेत्रों में शिविर लगाए जा रहे हैं और आधार नामांकन, पीएम जनधन खाते खुलवाने, सामुदायिक प्रमाणपत्र जारी करने, आयुष्मान भारत नामांकन, एफआरए पट्टा वितरण, किसान क्रेडिट कार्ड नामांकन आदि के माध्यम से बुनियादी सुविधाएं दी जा रही हैं।","इना अभियान थी आदिवासी वाहती मां शिविर लगाडी रा से।अने आधार जोडावी रा, पीएम -जनधन आता खोलाडी रा से,सामुदायिक प्रमाण पत्र बणावी रा, आयुष्मान भारत नामांकन,एफ आर ए पटटा वटवानु, किसान क्रेडिट कार्ड वाटवानु हेवी घणी सुविधा आली रिया से।"
133941,गुना का एक पालतू कुत्ता था।,गुना ने एक पाळतु कुतरो हतो।
66526,"कई देशों में प्रतियोगिता नियमित रूप से आयोजित किए जाते हैं, जिनकी मेजबानी संयुक्त राज्य शतरंज महासंघ और राष्ट्रीय शैक्षिक शतरंज संस्थान जैसे संगठनों द्वारा की जाती है।","घणा देशुं मा प्रतियोगिता हमेशां हारू सगवड करवा लागी ग्‍यां, जिना आयोजकू संयुक्‍त राज्‍रू शतरंज महासंघ अने राष्‍ट्रीय शैक्षिक शतरंज संस्‍था जेवां संगठनू इ करी जाय से। "
88122,"1941 के अंत में, सेन को शांतिनिकेतन के पाठ भवन में भर्ती कराया गया, जहाँ उन्होंने अपनी स्कूली शिक्षा पूरी की।",1941 मा आखरी मा सेन ने शंति निकेतन नो पाठ भवन मा भर्ती रायो गयो हतो ।
14718,यानि ये भी 75 प्रतिशत से ज्यादा है।,मतलबा यो पण 75 प्रतिशत ही वदू से ।
24446,का कारण भी बन सकती है। यह आपके स्वास्थ्य के लिए घातक साबित हो सकती है।,यों कारण भी वणी सके से या आपड स्वास्थ्य नी हारु घातक साबित होय सके से l
125134,"चाश्नी के हार, कंगन, कॉसली, कड़ी आंगूठी बड़े सुन्‍दर लग रहे थे।","शक्‍कर नू पाणी से हार कंगन, कांसली, काकणी, माजम, कडे वारु, देखायतेलुा"
85093,मुम्बई की विशेष अदालत ने केंद्रीय अन्वेषण ब्यूरो-सीबीआई को जेल में बंद पूर्व मीडिया प्रमुख इंद्राणी मुखर्जी से आईएनएक्स मीडिया भ्रष्टाचार मामले में पूछताछ की अनुमति दे दी है।,बम्बई नी खास कारेटें केन्द्रीय अन्वेषण ब्यूरो सीबीआई ने जेल माँ बंद आगळ नी मिडिया नी प्रमुख इंद्राणी मुखर्जी थी आई एन एक्स मीडिया भ्रष्टाचार ना मामला माँ पुसताज नी सुट आल देदी।
99939,उन्‍होंने कहा कि इस योजना का एक लक्ष्‍य लोगों में आत्‍मविश्‍वास बढ़ाना भी है।,इहुने किदु कि इनी ओजना नो एक लक्ष्य लोगुने आत्मविश्वास बढावानो  से ।
92582,"जैसे-जैसे मैसूर और पेशवा के बीच सत्ता का संघर्ष जारी रहा, उसमें जल्द ही अंग्रेज और अन्य यूरोपीय व्यापारिक कंपनियाँ भी शामिल होने लगीं।",जेवी-जेवी मैसूर अने पेशवा नी वसमा राज नी लडाई चालती री तीन मा बेयी बिजी यूरोप नी वैपार नी कमपनीयो भैल यो थावा लाग्यो।
114554,सभी गीत पुनम हरिहरन द्वारा लिखे गए हैं और सभी संगीत इंद्रनील हरिहरन द्वारा रचित हैं।,बदा गीत पुनम हरिहरन थी लखेला से अने बदा संगीत इन्द्रनील हरिहरन थी लख्या से !
127090,तमने क्या कहा जो वह रोने लगा।,तु काय कहयो ती रोणने मंडयू ।
45297,उन्होंने एकाकी बाजार के स्थान पर पांच समीपवर्ती बाजारों की उपस्थिति को माना है ।,तीनायी अेखली बजार नी जगा पर पांस मेरे ना बजारू नें मान्या सें ।
84147,"राजनीतिक संकल्प और संवाद के साथ-साथ, विभिन्न ईसाई संगठनों ने हिंसा को रोकने और अंतर-समूह संवाद की प्रक्रिया में मदद करने का बीड़ा उठाया है।",राजनीतिक वादा अन वात्यों न हाते-हाते बिजा-बिजा ईसाई नी टोली ऐ लड़ाई रोकवा अन टोली न मायते वात करवा नी मदद करवा हख नो कदम उढाडीयु से।
15956,उस समय भारत उन देशों में से था जिसके संविधान ने महिलाओं को मतदान का अधिकार दिया।,तिनी वखते भारत तिना देहु मा थी हतु जिन्हुनो काईदा ये बईरुन वोट नो हक आल्यो |
110174,"बैठक के दौरान विदेश सचिव ने प्रधानमंत्री शेख हसीना से विकास में भागीदारी, सम्पर्कों को बढ़ावा देने, कोविड-19 वैक्सीन में सहयोग और कोविड के बाद अर्थव्यवस्था मजबूत करने के संबंध में कई द्विपक्षीय मामलों पर बातचीत की।",बैठक ने वखत बिजा देह ना सचिव ने प्रधानमंत्री शेख हसिना ही विकास मा भागिदारी सम्पर्को ने बढावो आलवा मा कोविड-19 वैक्सिन मा मदद अने कोविड-19 ने बाद पैसा कोढी मा काठा करवा ना बारा मा घणास कई बेपक्षीय मामलों पर वातचित करी।
107540,अत: एक ‘नया भारत’ उभर रहा है जो आधुनिक एवं प्रतिस्‍पर्धी होगा और इसके साथ ही सभी का ध्‍यान रखने वाला एवं करुणामय भी होगा।,एतरे एक ' नवो भारत ' उभरी रयो से जी आधुनिक अने प्रतिस्पर्धी ओहे अने इनी हाते ही सभा नु ध्यान राखवा वाळा अने करुणामय पण ओहे ।
43290,प्रतिनिधिमंडल ने विश्‍व भर के देशों के साथ संबंधों को मजबूत करने के लिए प्रधानमंत्री द्वारा किए गये प्रयासों के लिए उन्‍हें बधाई दी और कहा कि आज विश्‍व के प्रत्‍येक कोने में रहने वाला प्रत्‍येक भारतीय गर्व का अनुभव कर रहा है।,प्रतिनिधिमंडल ये दनिया भरमा ना देहो मा हाते जोडवानों मजबुत करवा हारू परधानमंत्री थी करेला प्रयासों हारू तेनान बधाई आली अने केदु कि आज दनिया ना खुणे खुणे रेवा वाळा प्रत्येक भारतीय गर्व ना अनुभव करीरा से।
135005,मैं चाचा का घर छोड़ने जा रहा हूँ ।,हूं काका ने घेर सोडवा जाई रो से।
91757,"बाइबल मसीह के जन्म के दिन या महीने के बारे में साफ़ - साफ़ नहीं बताती, इसलिए अनेक तारीख़ें सुझायी गयी हैं ।",बाइबल मसीह ना जनम ना दिन या महीना ना बारा मा साफ-साफ नी वताडयु तीना हारू घणी तारिक आली गी से।
119834,"जल संसाधन, नदी विकास एवं गंगा संरक्षण मंत्रालय, भारत सरकार, जल संबंधित मुद्दों पर ध्यान केन्द्रित करने के लिए वर्ष 2012 से भारतीय जल सप्ताह का एक अंतरराष्ट्रीय घटना के रुप में आयोजन कर रहा है।",जल संसाधन नदी विकास नदी विकास आने गंगा सरक्षण मंत्रालय भारत सरकार पाणी जोड़वा नी वाट मा ध्यान करवा हारू वरहे ना 2012 थी भारतीय पाणी हत्तों ना एक यंत्ररस्त्रीय घाटन नी रूपरेखा तयार कर रा से 
132554,बच्‍चे मैदान में घोड़े पर बैठकर कर आनंद ले रहे थे।,पुरीयां मैदान मां घुडा पोर बोसिन मोज कोरतेला
125188,उसने बैल को गाड़ी में जोता।,पोलू बैल काजेग गाडी मा जुप देधू
128611,आज आओ आपको नर्मदा से मिलाना चाहते हैं।,आज आवो तुहंग नर्मदा धको भेलो कोरने होई रिया ।
75820,"​कांग्रेस की एक और नेता रागिनी नायक ने कहा, 'एमजे अकबर का देर से आया इस्तीफा उन महिलाओं की ओर से लगातार बनाए गए दबाव का परिणाम है, जिन्होंने अपनी भयावह और असहज करने वाली कहानियां साझा की थीं.",कागेस की एक नेता रागिनी नायक ऐ केदू एम के अकबर वार ती इस्तुफा अनी लुगाईयो नी ओर लगातर वनायू गयू दबाव ना कारण से जिन्हाने आपणी भयानक अन असहज करवा वालु काहनी वताडी थी
121384,आज सुबह प्रधानमंत्री की उपस्थिति में राष्ट्रपति श्री प्रणब मुखर्जी द्वारा राष्ट्रपति भवन संग्रहालय का उद्घाटन किया गया।,आज सवार मां प्रधानमंत्री नी हाजरी मां राष्ट्रपति श्री प्रणव मुखर्जी ने राष्ट्रपति भवन संग्रहालय नो उदधाटन करेलो । 
46659,"जहां सुधा मूर्ति (इन्फोसिस के संस्थापक और पूर्व अध्यक्ष एन आर नारायणमूर्ति की पत्नी) और रोहिणी नीलेकणी (पूर्व सह-अध्यक्ष नंदन नीलेकणी की पत्नी) को लेकर अक्सर मीडिया में चर्चा होती रही है, लेकिन अभी तक कुमारी शिबुलाल के बारे में बहुत कुछ नहीं लिखा गया है।",जा सुधामूर्ति (इन्फोसिस ने बणावाला अने पेहलू नो अध्यक्ष एन आर नारायणमूर्ति नी बयर) अने रोहिणी नीलेकणी (पेहलू नो हतवारियों अध्यक्ष नंदन नीलेकणी नी बयर) ने लीन घणावारी हमीस्यार टीवी वाला वातियों थायो से पण हमणे तक कुमारी शिबुलाल ना बारा मा घणु कम लखियु से।
129724,गुरूजी ने बोला है एक जुलाई से ड्रेस में विद्यालय आना है।,मास्‍टरनी बुले कि तारिक थी स्‍कूल ड्रेस पेहरीक ने आवजी ।
41527,"इस क्षेत्र में हिंदू बहुसंख्यक हैं और नायर, एझावा, नंबूदिरी और पुलायार जैसी जातियाँ तालुका के आसपास मौजूद हैं।","इना इलाका मां हिंदू वदू संख्‍या मा से अने नयार, एझावा, नंबूदिरी अने पुलायार जैवी जातियो तालुका नी आसपास हाजर से। "
2490,"G20 शिखर सम्मेलन के माध्यम से Global South की आवाज के रूप में भारत के अभ्युदय को भी बढ़ावा मिला, जिससे अंतर-राष्ट्रीय संवाद की प्रक्रिया में एक आवश्यक तत्व का समावेश हुआ।",G-20 उसां मेळा थी GLOBAL SOUTH नी आवजु ना वेह मां भारत ना ;खास वलाद्ध बढ़ोतरी ने पण अमळ बदायू जिना थी देहोणदेह वार्ता नी बढ़ोतरी मा एक खास सीज ने मेळयु ।
46125,इसके अलावा झारखंड में स्थित सहायक कंपनियों सहित सीआईएल की सहायक कंपनियों में कार्पोरेट पर्यावरणीय नीति का पालन किया जा रहा है।,इनाने बाद मा झारखण्ड मा लागेलु नानी कम्पनीयो हुदी सीआईएल नी हात वाळी कम्पनीयो मा कोरपोरेट पर्यावरण निती नो पालन करी रिया से।।
109542,"उन्‍होंने दोहराया कि नेपाल के लोगों की प्रगति, शांति और सफलता ही भारत की एकमात्र इच्‍छा रही है।","तिहूने दोहराया कि नेपाल ना मनखू यी केदू कि प्रगति , शांति अने सफलता थी भारत नी एकमात्र इसा रेसे। "
117555,"दर्द तब दाहिने निचले चतुर्थांश में ""सीमित"" हो जाता है जहां पीड़ा तीव्र हो जाती है।",दर्द जरा दहिने निचले चतुर्थांश मा सीमित थाय जाय जी पीडा तकलीप वदार थाय सके।
72973,2019 के लोकसभा चुनाव में मक्कल निधि मय्यम में पार्टी को मिले वोटों की संख्या 3 थी।,2019 ना लोकसभा चुनाव मा मक्कल निधि मय्यम मा पार्टी ने मलेला वोटों नि  संख्या 3 हुती ।
403,नारी शक्ति : हम जीवन के हर क्षेत्र में देखें खेल-कूद का मैदान देखें या युद्ध की भूमि देखें भारत की नारी शक्ति एक नए सामर्थ्‍य नए विश्‍वास के साथ आगे आ रही हैं।,बईरां नो जोर :- हमू जिनगी मां बदी तरप देखयी रमवा-कुदवा ना मैदान मा देखयी लड़ाई नीं जमी मां देखयी बयरीयुं नीं शक्ति एक नवा जोर मां नवा विश्‍वा मां अगाड़ी वदी री से
66344,"खाद्य की परिणामी मांग को उच्च पैदावार और बेहतर फसल सुरक्षा से संतुष्ट किया जाना चाहिए, दोनों के लिए लगभग 14 करोड़ हेक्टेयर भूमि की पर्याप्त सिंचाई की आवश्यकता होती है।","खाद्य की परिणामी मांग को उच्च पैदावार अने बेहतर फसल सुरक्षा ना संतुष्ट किया जाना चाहिए, दोनों के लिए लगभग 14 करोड़ हेक्टेयर भूमि की पर्याप्त सिंचाई की आवश्यकता होती है।"
135345,अच्छा अवकाश लें।,असल फुरसत लेवानुं ।
66525,"मौलवियों, छात्रों और व्यापारियों के समूहों में जाना जाने वाला शतरंज मध्य युग की लोकप्रिय संस्कृति में प्रवेश कर गया।","मौलवियो, भणवा वाळा अने वेपारियू ना दल मा जणाएला शतरंज मध्‍य युग नी मानेली संस्‍कृति मा भराई ग्‍यो। "
124114,दूसरे दिन लड़का खेत में वापस गया। उसको वहां बर्तन दिखाई दिये। वह बर्तन उठाने लगा।,दिसरे दाहरे पूरियू खेतम गियू पला काजे खेत मा ठाहला नं दूरे पडया पलू ठाहरा काजे ईछण लागयू
52703,इस पर ठाकुर की उपाधि के साथ तोमारा राजवंश की एक कैडेट शाखा का शासन था।,इन पर ठाकोर नी पद नी हाते तोमारा राजवंश नी एक कैडेट समूह न राज हतु ।
95609,"उस ग्रन्थ में वैयक्तिक नृत्य , अभिनय की परिपाटी ( नृत्त ) , गीत और वाद्य पर अधिक ध्यान दिया गया है ।","तिना ग्रन्थ मा ,खलू नाचवानु , नाटक करवानु, गीत यु अने वाजो वगाडवा नी ऊपर वदार ध्यान जैर आलेला से। "
2949,हम Stand-up India की बात करते हैं तो हम Start-up India के लिए और कदम उठाते हैं।,हमू Stand-up India नी वात करी ते हमू Start-up India हारू फेर पंगला उठाडी रिया से।
19937,"दोस्तों, हमारे देश की युवा शक्ति, विशेष रूप से नये पिढ़ी के बच्चे, आज देश के उज्जवल भविष्य का निर्माण कर रहे हैं।",दोस्‍तों हमारा देश नी युवा शक्ति विशेष रूप थी नवी चिढ़ी नों सौरां आज देश नें उज्‍जवल भविष्‍य नों निर्मांण करी रीयां से।
89416,पन्नीरसेल्वम और जॉइंट कोऑर्डिनेटर और मुख्यमंत्री एडापड्डी के. पलानीस्वामी ने पिछले महीने के अंत में बुलाया था।,पन्नीरसेल्वम अने जॉइट कोऑर्डिनेटर अने मंख्यमंत्री एडापड्डी ना पलानीस्वामी ऐ पासला मईना नी अखर मा बोलाडीया हता।
99139,"चूंकि जो लोग बटाईदार हैं, उनके पास जमीन का कागज नहीं होता है, इसके चलते वे एमएसपी पर अपना उत्पाद नहीं बेच पाते हैं",पण ज्‍यां मनखुं बटाईदार से तिहु कन जगा ना कागद नी रे इना लेदे ती एमएसपी परी आपडु चीजे नी वेसी स‍के।
118905,"उनके बाद पॉल ग्रोहमैन, एडवर्ड आर. व्हिटवेल, माइकल इनरकोफ्लर, एंजेलो डिबोना और टीटा पियाज जैसे कई अन्य पर्वतारोहियों ने पहला आरोहण किया।","तेना पसी पॉल ग्रोहमैन, एडवर्ड आर . व्हिटवेल, माइकल इनरकोफ्लर. एंजेलो डिबोना अन टीटा पियाज जेवां घणा बीजा पर्वतारोहियों ईं पेहलुं आरोहण कर्युं l"
74538,"इसके अलावा इस बात का भी साक्ष्‍य मिला कि उपर्युक्‍त ऋण से संबंधित 50.34 करोड़ रुपए के ऋण वापसी एक ऐसे सागिर्द को उतनी ही धनराशि का ऋण देकर महज एक खानापूर्ति की है, जिसने इस पूरे लेन-देन में अपनी भूमिका को लेकर अपनी गलती कबूल की है।",इना अलावा इनी वाल नो भी साक्ष्य मलियो की उपयक्त ़ऋण नी संबंध 50.34 करोड रूप्या नो ऋण पासो एक दवो सागिर्द ने तेतरी ही धनराशि नु ऋण आलीन महक एक खानापूर्ति करी से जिने इना पुरा लेन देन मा आपडी भागीदारी ने लीन आपडी गलती कबूल करी से
130871,हमें सुबह उठकर दॉंत साफ करना चाहिए।,हमने वेगत उठिन दातुन साफ करनो चाहिये
126884,"हमारे पंख, पैर, चोंच और बोली अलग-अलग हैं।","हमरो,पाखडा,पाय,चाच अली बुली अलग-अलग छे ।"
136004,कृपया एंबुलेंस भेजें।,कृपया एम्बूलेंस मोकलो ।
69561,अशोक के बाद 50 वर्षों तक कमजोर राजाओं का सिलसिला चलता रहा।,अशोक नी बादमा  मा पचास वरह तक कमजोर राजाउ नो सिलसिलो चालतो  रयो ।
39070,जब कांग्रेस 2004 से 2014 के बीच सत्ता में थी तो उसने संयुक्त राज्य अमेरिका के साथ भारत के संबंधों पर काम किया था।,तेर कांग्रेस 2004 ज्ञि 2014 ना वसमा सरकार मा हती तेर इहुयी संयुक्त राज्य अमेरिका नी हाते भारत ना रिश्ता पर काम करयु हतु।
13332,ये 2022 भारत की आजादी के 75 साल पांच साल हमारे पास हैं।,"यी 20 22 भारत नी सुट्या थावा ना 75 वरहु, पॉस वरह अमारा मेरे से।"
34905,"स्वदेशी उत्पादों के उत्पादन और मार्केटिंग को बढ़ावा देने के लिए, विशेष सरकारी योजनाएं और समर्थन उपलब्ध कराए जा रहे हैं।",देश मां बणेंलां हमुंन वदुं बणांवा अन बजार मां वदु वेसाई तीनीं हारूं सरकार खास योजनां बणांवी री से।
48189,महाराष्ट्र में एनसीपी के अध्यक्ष शरद पवार ने एक न्यूज़ चैनल से बातचीत की।,महाराष्ट्र मा एनसीपी ना अध्यक्ष शरद पवार यी एक सैनल मा वातसीत करी।
80789,"उन्होंने कहा कि ‘नवीन भारत का हमारा विजन आर्थिक रूपरेखा, जाति, वर्ण, भाषा एवं धर्म से परे, समाज के सभी वर्गों की आवश्यकताओं का ध्यान रखता है।’",तिनाई किदू कि नवा देह या हमारी बात से रुपया पैसा ... वेली तैयाडी जाति वर्ण भाषा बोली धरम ति पर समाज मां बदां लोगो अने वर्ग जाति नी जरुत नी ध्यान रख्यू छे।
117589,"कुछ मामलों में, आँखों के बीच की दृष्टि उस हद तक भिन्न हो सकती है जहाँ एक आँख की औसत दृष्टि दोगुनी होती है जबकि दूसरी आँख पूरी तरह से अंधी होती है।",कई लफडो मा आंख ने वस ही देखावा वेन हद हुदी अलग थाय सके। जी  एक आंख नी वसत देखावा बे दानी थय सके। जरा बीजी आंख पूरी रीत ही अंधी थय है
123482,इग्लैंण्ड में भी विष्‍ठा और पेशाब की खाद का उपयोग किया जाता है।,इंगलैंड भा पण खुला मोतरखा नी खाद नो उपयोग करे हे।
79106,"इसके अतिरिक्ति, ऐसी असफलता के मामले में विशेष दंड संहिता निर्धारित करने की संभाव्यरता पर विचार करना चाहिए।",इना अलावा एवी असफलता  ना मानला मा विशेष दण्ड सहित निर्धारित करवानी संभाव्यरता पर विचार करुवु से। |
95688,घेरे के बाहर चोवदार लोग भाला लेकर चलते थे ।,घेरा ही बाहरता चौकीदार हणु भाला लीन सालतेला।
47260,कार्यक्रम में आए बच्चों को संबोधित करते हुए उन्होंने जोर देकर कहा कि वे हमारे देश का भविष्य हैं और उन्हें आने वारे वर्षों में परमाणु कार्यक्रम को आगे बढ़ाना चाहिए।,कार्यक्रम मा आया चोरानी संबांधित करता हता तिनाये जोर दीन केदु कि त्या हमारा देश ना भविष्य हे तिनान आवा वाला वरहू मा परमाणु कार्यक्रम ने अगाड़ी बढ़ावो जोवे।
32549,कुशल दुनिया बनाना: हमारे लाखों युवाओं को कौशल प्रदान करते हुए भविष्‍य के लिए तैयार करना।,सिखेला दनिया बणावानू हमारे लाखो जुवान छोरा ने ग्यान आलवानु अने आवा वाला टाइम वले तैयार करवा नु द्य
130416,युद्ध में कई लोग मारे जाते हैं।,युद्ध मा कई लोग मरी जाय छे ।
18554,इसके जरिये चने की पैदावार करने वाले किसान और बताशे बनाने वाले छोटे उद्यमियों का समाज में महत्व स्थापित किया गया है।,इना जरिये सणा नी पैदावार करवा वाला करसाण अन पतासा बणावा बादा सोरां धंधा वाला ना हमाज मा खासियत यापित करयू रयू से ।
41286,"हालांकि, इस बात से अवगत रहें कि यह हमेशा संभव नहीं हो सकता है क्योंकि कुछ विक्रेताओं के गोदाम में हजारों पात्र हो सकते हैं।","हाऊ इनी वात थी अवगत थाई कि यो हमेशा संभव नी हो सकेहे से, केमकि कुछ विक्रेताओं वेसवा वाळां नां गोदाम मां हजारों पात्र थाई सकहे से। "
130088,जगनी के बीज काले रंग के होते हैं।,जगनी ना बिया काला होय से ।
124695,ज्‍येष्‍ठ पुत्र थे श्री राम ।,बदा करत मोटो पुरियो श्री राम हुतो
44489,जल आसवन की यह विधि अत्यंत महत्वपूर्ण है ।,पाणी गाळवा नी ये रिति घणी खास से।
109620,प्रधानमंत्री श्री नरेन्द्र मोदी ने आज महाराष्ट्र के विभिन्न भागों में सूखे और पानी की कमी की स्थिति के बारे में एक उच्च स्तरीय बैठक की अध्यक्षता की।,प्रंधानमंत्रीश्री नरेंन्द्र मोदी ये आज महाराष्ट्र न अलग-अलग भागों मा हुकेला अने पाणी नी कमीनी स्थिति ना बारा मा गा मोटा स्तर नी बैठक नी अध्यक्षता करी।
137225,यह एक मूर्ख लड़का है।,यों एक  गनडवाडियो छोरो से।
93686,"इसके अलावा, इससे ईंधन आयात पर निर्भरता में कमी होगी, जिसके परिणामस्वरूप रेलों के लिए ऊर्जा लागत में बचत होगी और देश के लिए विदेशी मुद्रा की बचत होगी।",इने अलाव इनथी जलावा मंगावा पण निर्भरता मा कमी थाहे जिना फल रूप मा रेलो हारू लाईट कीमत मा वसत थाहे अन देह हारू विदेही रूपया नी वसत थाहै।
132713,पेड़ पौधे बारिश का पानी सीखते हैं।,झाडका वरसातनु पाणी खेंचे ।
90006,"वित्तपोषण के सारभूत होने के प्रश्न पर विचार करते समय, लोकहित के पहलूकी अनदेखी निधियों नहीं की जा सकती है क्योंकि ऐसी निधि लोकनिधि है जिसका लेन-देन सरकार करती है ।","वित्तपोषण ना सारभूत होवा ना प्रश्न पर विचार करता समय, लोकहित ना पहलूकी अनदेखी निधिया नी करी जाय सके से केमकि ऐवी निधि लोकनिधि से जिनानु लेन-देन सरकार करहे।"
722,"आखिकार 1947 में देश आजाद हुआ, हजार साल की गुलामी में संजोये हुए सपने देशवासियों ने पूरे करते हुए देखे।","आखिर कार 1947 मां देश आजाद थायो, हजार वरेह नीं गुलामी मां फसेला हपना देशवासीयों हपना पूरा करेला देखियां।"
33285,मैं कामना करता हूं कि नववर्ष आपकी आकांक्षाओं को पूरा करे।”,हु कामना करूं से की नवावरह तमारी आंकांक्षा ने पूरी करे।
53315,"श्री दिगंबर जैन अतिश्य क्षेत्र मंदिर, संघीजी लाल पत्थर से बना राजस्थान के सांगानेर में एक प्राचीन जैन मंदिर है।","श्री दिगंम्‍बर जैन जिनी जंगा मा मूर्तियों ना चमत्‍कार रेखाय मंदिर, संधीजी राता भाटाा थी बण्‍यो राजस्‍थने ना सांगानेर मा एक प्राचीन जैन मंदिर छे।"
40668,"इस घटना पर प्रतिक्रिया जाहिर करते हुए आचार्य ने पत्रकारों को बताया कि वह सभी राजनीतिक पार्टियों से जुड़े कार्टून बनाते रहे हैं, लेकिन पहली बार इस तरह की मुश्किल का सामना उन्हें करना पड़ रहा है।",इनी घटना पर बोलता जाईंन ने जाहिर कर्या ने हैरांण अखबार वाळो  न वताड़यो के त्या सब राजनीतिक पाल्‍टीयों था जोड़ाइला कार्टून बणावतार्या से। पण पेहली वार इनी हरको मुश्किल हामीं आवीरी से ।
40418,"कांग्रेस अध्यक्ष राहुल गांधी के एक ट्वीट को लेकर रेल मंत्री पीयूष गोयल ने तीखा हमला बोला और कहा कि यह काफी शर्म की बात है जो देश के इंजीनियरों, टेक्निशियन और मजदूरों की मेहनत व प्रतिभा पर सवाल उठाया जा रहा है।",कांग्रेस अध्यक्ष राहुल गांधी ना रोक हमीसियार ने लीन रेल मंत्री पीयुष गोयल ये तीखो हमलो बोलीन अने केदुं कि यो काफी दुख नी वात है। जो देश ना इंजीनियरों टेक्निशियन अने मंजुर नी कुसिस अने प्रतिभा उपर सवाल उठाडयो।
21951,कई राज्यों में जनवरी 2024 में स्वीकृत एमएमयू और आंगनवाड़ी क्रियाशील हो चुके हैं।,कईना क राज्यों मा जनवरी 2024 मां पास थईळा एम एमयू अने आंगनवाडी चाळू थई ग्या से।
21544,महिला स्वयं सहायता समूहों को भी आज सरकार से रिकॉर्ड आर्थिक मदद दी जा रही है।,महिला स्वयं सहायता समूहों ने आज पण सरकार हीं रिकॉर्ड आर्थिक मदद आली री से ।
9184,यह ब्रुनेई में नदियों की सूची है।,ये ब्रुनेई मां नंदियों नीं सूची से।
4799,उन्होंने राज्यों से अपनी योजनाओं में खेलों को प्राथमिकता देने तथा खेल संस्कृति को बढ़ावा देने का आह्वान किया।,तिन्हुये राज्यो थी आपडी ओजनायु मा खेळु ने खास करिये जोडवां हारू भने खेळु नी रीतियु ने वदारवा हारू तेहु करियु।
34837,"आत्मनिर्भर भारत की पहल के तहत, विशेष रूप से ग्रामीण क्षेत्रों में बुनियादी सुविधाओं के विकास पर जोर दिया जा रहा है।",आपड़ा बल पर उठवा वाळां भारत देश मा खास करीन गांव नां मनखुं हारूं घणीं सुविधा करी री न तीन्‍हुंन बढावा पर घणों जोर दी री से।
65359,1974 से भारत सरकार ने लद्दाख में पर्यटन को सफलतापूर्वक बढ़ावा दिया है।,1974 थी भारत सरकार ना लदाख मा पर्यअन यात्रा करवा वाळो मनखों ये सफलता पूर्वक बढावो आल्यो।
